DATE,STATION,SAMPLE,SAMTIME,REPLICAT,TSTAGE,STEMP,AIRTEMP,SEDWATER,SSAL,REDOX,COREAREA,COREDIAM,SEDVOL,COREDEPA,COREDEPB,COLLECT,UNIDCAPI,TOTCAPIT,CAPICAPI,HETEFILI,CAPISP01,UNIDCIRR,TOTCIRRA,CAULLESP,THARYXSP,CIRRSP01,UNIDGLYC,TOTGLYCE,GLYCSP01,UNIDGONI,TOTGONIA,GONISP01,UNIDLUMB,TOTLUMBR,LUMBTENU,LUMBSP01,UNIDMAGE,TOTMAGEL,MAGEPHYL,MAGESP01,UNIDNERE,TOTNEREI,NERESUCC,NERESP01,UNIDORBI,TOTORBIN,HAPLROBU,ORBISP01,UNIDPHYL,TOTPHYLL,ETEOHETE,PHYLSP01,UNIDSP01,TOTSPION,SPIONSPA,PARAPINN,POLYDSPI,POLYSPII,PRICIRRI,PRICIRRO,SPIOBOMB,STREBENE,SPIOSP01,SPIOSP02,UNIDSYLL,TOTSYLLI,SYLLSP01,POLYSP01,POLYSP02,POLYSP03,POLYSP04,UNIDPOLY,TOTPOLYC,TOTSPECI,TOTFAMIL,AMPHIPOD,TSHRIMPS,CUMACEAN,ISOPODSA,UNIDCRUS,TOTCRUST,TOTBIVAL,UNIDNEME,OLIGOCHA,SIPUNCUL,SHELGAST,UNIDMISC,TOTMISCE,TOTUNORG,TALLORGA
4/18/1981,BB,7,14:00:00,2,0,22,-9.9,-9.9,37,1,170,-99,850,0,5,RPM,0,2058.824,1941.176,117.6471,0,529.4118,529.4118,0,0,0,0,0,0,0,0,0,0,117.6471,117.6471,0,0,0,0,0,0,0,0,0,0,58.82353,58.82353,0,0,58.82353,58.82353,0,0,411.7647,58.82353,235.2941,0,0,0,0,0,117.6471,0,0,0,0,0,0,0,0,0,117.6471,3352.941,9,7,58.82353,0,0,0,0,58.82353,58.82353,58.82353,0,0,0,0,58.82353,58.82353,3529.412
5/1/1981,BB,8,-99,1,0,24,25,-9.9,35,2,170,-99,850,0,5,RPM,0,1941.176,1882.353,58.82353,0,764.7059,764.7059,0,0,0,0,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,176.4706,176.4706,0,0,0,0,0,0,235.2941,235.2941,0,0,1176.471,0,0,0,0,117.6471,0,0,1058.824,0,0,1764.706,1764.706,0,0,0,0,0,470.5883,7529.412,11,11,1294.118,58.82353,0,176.4706,0,1529.412,176.4706,58.82353,235.2941,0,0,58.82353,352.9412,0,9588.235
5/1/1981,BB,8,-99,2,0,24,25,-9.9,35,2,170,-99,850,0,5,RPM,0,4176.471,4117.647,58.82353,0,4117.647,4117.647,0,0,0,0,0,0,0,0,0,235.2941,294.1176,58.82353,0,0,0,0,0,0,0,0,0,0,117.6471,117.6471,0,176.4706,294.1176,117.6471,0,0,1529.412,0,58.82353,0,0,0,0,0,1470.588,0,0,235.2941,235.2941,0,0,0,0,0,117.6471,10882.35,9,8,0,0,0,0,0,0,176.4706,176.4706,117.6471,0,0,0,294.1176,0,11352.94
5/15/1981,BB,9,13:00:00,1,0,25,28,-9.9,35,2,154,14,770,0,5,RPM,0,1233.766,1233.766,0,0,909.0909,909.0909,0,0,0,64.93506,64.93506,0,0,0,0,0,0,0,0,0,64.93506,64.93506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.8701,0,0,0,0,0,0,0,129.8701,0,0,194.8052,194.8052,0,0,0,0,0,0,2597.403,4,6,0,0,0,0,0,0,64.93506,64.93506,259.7403,0,0,0,324.6753,0,2987.013
5/15/1981,BB,9,13:00:00,2,0,25,28,-9.9,35,2,154,14,770,0,5,RPM,0,649.3506,64.93506,584.4156,0,1428.571,1428.571,0,0,0,0,0,0,0,0,0,64.93506,129.8701,64.93506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.93506,2272.727,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2272.727
6/29/1981,BB,12,13:35:00,1,0,27,-9.9,-9.9,34,-99,109,12,547,0,5,RPM,0,1743.119,1743.119,0,0,2477.064,2477.064,0,0,0,91.74312,91.74312,0,0,0,0,183.4862,183.4862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.74312,91.74312,0,0,1467.89,0,0,0,0,0,0,0,1467.89,0,0,91.74312,91.74312,0,0,0,0,0,0,6146.789,4,7,0,0,0,0,0,0,0,0,183.4862,0,0,0,183.4862,0,6330.275
6/29/1981,BB,12,13:35:00,2,0,27,-9.9,-9.9,34,-99,109,12,547,0,5,RPM,0,1651.376,1651.376,0,0,2935.78,2935.78,0,0,0,91.74312,91.74312,0,0,0,0,183.4862,183.4862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.4862,183.4862,0,0,1467.89,0,0,0,0,0,0,0,1467.89,0,0,91.74312,91.74312,0,0,0,0,0,0,6605.505,4,7,0,0,0,0,0,0,0,91.74312,275.2294,0,0,0,366.9725,0,6972.477
7/15/1981,BB,13,13:50:00,1,0,31,-9.9,-9.9,36,-99,109,12,547,0,5,RPM,0,2568.807,2018.349,550.4587,0,5321.101,5321.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.4862,183.4862,0,0,1284.404,0,0,0,0,0,0,0,1284.404,0,0,0,0,0,0,0,0,0,91.74312,9449.541,5,5,0,0,0,0,0,0,0,275.2294,275.2294,0,0,0,550.4587,0,10000
7/15/1981,BB,13,13:50:00,2,0,31,-9.9,-9.9,36,-99,109,12,547,0,5,RPM,0,1376.147,1009.174,366.9725,0,7706.422,7706.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825.6881,0,0,0,0,0,0,0,825.6881,0,0,0,0,0,0,0,0,0,0,9908.257,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9908.257
7/29/1981,BB,14,12:30:00,1,0,30,33,-9.9,36,-99,109,12,547,0,5,RPM,0,458.7156,366.9725,91.74312,0,0,0,0,0,0,91.74312,91.74312,0,0,0,0,91.74312,91.74312,0,0,0,0,0,0,183.4862,183.4862,0,0,0,0,0,0,0,0,0,0,0,458.7156,0,183.4862,0,0,0,0,0,275.2294,0,0,91.74312,91.74312,0,0,0,0,0,91.74312,1467.89,6,7,183.4862,0,0,0,0,183.4862,91.74312,91.74312,1467.89,0,0,0,1559.633,0,3302.752
7/29/1981,BB,14,12:30:00,2,0,30,33,-9.9,36,-99,109,12,547,0,5,RPM,0,275.2294,275.2294,0,0,91.74312,91.74312,0,0,0,0,0,0,0,0,0,0,366.9725,366.9725,0,0,0,0,0,183.4862,183.4862,0,0,0,0,0,0,91.74312,183.4862,91.74312,0,0,917.4312,0,0,0,0,0,0,0,917.4312,0,0,0,0,0,0,0,0,0,91.74312,2110.092,6,7,366.9725,0,0,91.74312,183.4862,642.2018,0,0,366.9725,0,0,0,366.9725,0,3119.266
